Date;THigh;TAvg;TLow;DHigh;DAvg;DLow;HHigh;HAvg;HLow;WHigh;WAvg;WLow;PHigh;PLow;Sum
10/05/2016;14,7;14;13,5;12,6;12,2;11,9;91;89;87;1,6;0,4;0;1012,53;1011,85;4,06
11/05/2016;14,7;13,3;12;13,6;12,5;11,8;99;95;85;8;2,7;0;1011,85;1002,37;69,09
12/05/2016;14,8;12,2;10,6;14;11,5;10,1;100;96;82;9,7;2,5;0;1002,71;997,97;22,1
13/05/2016;18,3;13,7;10,4;12,8;11,3;9,3;98;86;70;4,8;1;0;999,66;996,28;2,29
14/05/2016;22,4;16,5;12,9;15,4;13;10,7;96;81;59;9,7;2,3;0;1007,45;999,32;0
15/05/2016;21,6;15,9;11,1;12,2;6,8;-3,2;97;64;21;20,9;5;0;1014,22;1007,45;0
16/05/2016;18,4;12,9;9,4;9,2;7,7;6;92;73;45;16,1;2,6;0;1018,29;1014,22;1,02
17/05/2016;20,7;14,3;9,7;8,4;6,9;5,4;83;63;40;9,7;1,9;0;1016,59;1013,88;0
18/05/2016;20,7;15,9;12,2;11,5;7,4;5,2;88;58;38;6,4;1,4;0;1015,58;1010,84;1,52
19/05/2016;13,2;10,7;8,8;11,6;9,4;7,7;97;92;80;14,5;3,4;0;1012,19;1006,77;44,45
20/05/2016;23,6;16,1;8,1;11,9;8,3;5,8;94;64;33;6,4;1,6;0;1017,95;1012,19;0,25
21/05/2016;25,5;20,4;15;11,7;9,4;6,2;68;51;29;6,4;1,4;0;1018,63;1015,58;0
22/05/2016;24,8;20,7;15,4;13,4;10,3;5,5;62;52;41;9,7;2,6;0;1017,27;1010,84;0
23/05/2016;19,7;14,7;10,1;12,6;9,8;5,6;92;73;49;17,7;5,9;0;1011,18;1005,08;8,89
24/05/2016;25,1;17,1;9,1;11,1;7,4;4,2;89;57;28;8;2,1;0;1009,48;1006,1;0
25/05/2016;23,4;17,7;12,2;12,3;9,6;6,4;79;60;42;8;3,6;0;1012,87;1009,48;0
26/05/2016;25,8;19,3;11,8;13,5;11,5;9,2;93;63;37;4,8;1,6;0;1014,9;1012,53;0
27/05/2016;27;22;16,4;14,9;12,6;10;69;56;42;6,4;1,4;0;1015,92;1013,21;0
28/05/2016;27,2;22,6;17,7;16,1;14,6;12,1;76;62;47;8;2,1;0;1013,88;1008,13;0
29/05/2016;21,3;16,6;14,5;15,8;14,8;13,6;97;90;68;11,3;4,2;0;1008,47;1005,08;20,83
30/05/2016;17,6;15;13,3;15,3;14;12,8;99;94;81;6,4;1;0;1010,16;1006,43;16,51
31/05/2016;20,3;14,9;12,2;15,5;12,7;10,5;97;87;66;14,5;1,8;0;1012,87;1010,16;21,08
01/06/2016;19,7;16,2;12,7;14,7;13;10,8;93;81;66;6,4;1,9;0;1012,53;1010,84;3,05
02/06/2016;20,3;16,4;13,7;15,5;13,8;12,4;97;85;67;8;1,6;0;1011,85;1008,47;0,76
03/06/2016;21,9;17,4;14,2;15,1;13,7;12,6;92;80;60;4,8;1,1;0;1011,18;1008,47;0,51
04/06/2016;21,7;17;13,8;16,1;14,3;13,3;99;86;60;4,8;1,2;0;1012,87;1010,16;36,32
05/06/2016;24,2;17,5;13,7;15,9;14,4;12,5;97;83;56;12,9;1,6;0;1014,9;1012,53;1,52
06/06/2016;25,6;19,6;14,5;16,7;14,7;12,8;95;75;48;8;1,8;0;1018,63;1014,9;0
07/06/2016;27,5;21;17,1;17,6;15;13,3;88;70;45;12,9;2,7;0;1019,3;1017,61;14,48
08/06/2016;26,7;19,8;15,1;17,3;14,8;12,2;98;75;52;11,3;2,1;0;1018,29;1011,51;26,67
09/06/2016;22,9;17,1;14,8;16,8;15,2;13,3;98;90;66;11,3;1,5;0;1013,55;1008,47;10,16
10/06/2016;25,2;19,5;14,4;15,9;14,8;13,3;96;76;50;8;1,3;0;1011,85;1008,81;0,25
11/06/2016;22;17,9;14,5;17,4;15,2;13,1;97;84;69;8;1,7;0;1010,16;1007,79;52,32
12/06/2016;23,7;18,2;14,3;16,3;14,5;13,1;94;80;60;6,4;1,7;0;1009,48;1005,08;0
13/06/2016;26,2;20,3;15,2;15,6;14,3;12,3;91;71;43;8;1,8;0;1006,1;998,98;0
14/06/2016;24,2;17,7;14,3;17,1;14,3;12,2;97;82;54;8;3,3;0;1001,36;997,63;64,01
